id,name,host_name,neighbourhood_cleansed,latitude,longitude,room_type,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month
9351735,Your Bright & Spacious Mission home,Philippe,Mission,37.74944922,-122.4095556,Entire home/apt,250,125,0,0,0,79,45,92,2.68
1962559,Comfy & quiet. Awesome location,Sylviane & Nicolas,Mission,37.75375109,-122.4252011,Entire home/apt,150,50,0,0,0,0,1,100,0.03
6926901,Victorian in the heart of Mission,Fred,Mission,37.75641542,-122.4128513,Entire home/apt,300,100,14,41,71,96,21,97,0.98
12366392,Spacious & sunny 1br apartment,Selene,Mission,37.76772249,-122.422152,Entire home/apt,170,50,0,0,0,0,4,100,0.37
5943416,Noe Valley/Mission Studio,Maggy,Mission,37.75151485,-122.4245018,Entire home/apt,190,80,3,14,14,237,1,-1,0.05
1339473,Heart of the Mission!,Jason,Mission,37.75440053,-122.412507,Entire home/apt,230,180,8,38,68,343,29,91,0.89
10940485,Room in Valencia Flat,Kaitlyn,Mission,37.75309747,-122.4199679,Private room,115,0,1,1,1,1,25,99,1.85
10792779,Sunny & Modern Mission Gem,Michele,Mission,37.75780405,-122.4214434,Private room,95,65,0,3,15,15,6,93,0.45
5414237,A Sunshine Lit Double Suite,Robert,Mission,37.74970235,-122.4066375,Private room,90,55,1,31,61,336,31,95,1.36
6954332,Beautiful Room w/ Bay Window in the Mission!,Scott,Mission,37.76645745,-122.4253543,Private room,95,30,9,16,16,228,11,95,0.6
10809367,Nice Mission Apartment Walk to BART,Evan,Mission,37.75089762,-122.4148136,Entire home/apt,350,25,0,0,0,0,0,-1,-1
815123,Cozy studio in the Mission,Bruno,Mission,37.75110865,-122.4187323,Entire home/apt,130,75,0,0,9,9,8,100,0.36
1388523,Mission Dolores Noe Valley Studio,Steve & Debbie,Mission,37.75526258,-122.4249664,Entire home/apt,4000,50,27,57,87,362,40,94,0.91
765914,"Gorgeous Mission Loft, Great Light!",Garry,Mission,37.75691789,-122.4111644,Entire home/apt,349,100,30,60,90,365,20,98,0.38
225205,Private Mission Room Near Valencia,Chris,Mission,37.76096715,-122.4231305,Private room,115,0,10,25,55,55,231,94,3.43
6795192,Sunny two-bedroom in vibrant Mission District,Seth,Mission,37.75849371,-122.4157999,Entire home/apt,170,85,17,26,56,56,3,100,0.19
5775177,Modern Mission Apt. w/ Private Bath,Jonathan,Mission,37.74825404,-122.4176816,Private room,115,50,22,52,82,347,12,100,0.79
8907289,2-Room Suite in Vibrant Mission,Lindy,Mission,37.75267808,-122.4075329,Private room,133,49,10,37,67,67,97,99,6.08
13953008,Large 1bd condo in Mission Dolores!,Ryan,Mission,37.76455721,-122.4239801,Entire home/apt,232,50,0,0,0,0,18,98,2.07
16232349,Cozy Mission apt,Ella,Mission,37.751588,-122.4187695,Entire home/apt,100,20,0,0,16,16,0,-1,-1
8384398,cozy apartment in the Mission,Alejandra,Mission,37.75618418,-122.421447,Entire home/apt,200,80,0,4,4,4,23,98,1.48
223213,Sunny condo - Mission District,Cynthia,Mission,37.7569887,-122.4085638,Entire home/apt,450,100,28,58,88,363,0,-1,-1
16363397,Private BDRM/BA in trendy SF Apt w/360 views!,Monique,Mission,37.76313587,-122.4079654,Private room,80,40,0,8,8,8,2,100,1.71
5468024,"large, comfy br in fun neighborhood",Steve,Mission,37.74907405,-122.4124016,Private room,99,25,0,0,0,0,88,92,3.47
1356129,Private Garden Room in Victorian Home!,Noah,Mission,37.75083547,-122.4234114,Entire home/apt,145,50,1,7,12,49,133,92,3.16
10710892,Sunny Modern Mission Dolores Condo,Michele,Mission,37.75857822,-122.4222351,Entire home/apt,215,65,0,0,0,0,3,93,0.22
16178751,"Private, Quiet Apartment in Heart of the Mission",Andrew,Mission,37.75913346,-122.4196755,Entire home/apt,185,80,0,2,2,13,5,100,1.92
15097007,Room in a lovely flat,Kyle,Mission,37.75746793,-122.4125947,Private room,350,0,29,59,89,89,0,-1,-1
16351934,Queen bedroom in gorgeous bright Dolores luxury,Roxy,Mission,37.76171887,-122.4234831,Private room,175,40,12,12,12,12,10,98,3.66
8564563,Comfy Classic Victorian - 2 BR,Taylor,Mission,37.76867194,-122.4178576,Entire home/apt,165,86,0,0,0,0,22,96,1.43
6852699,Spacious 1 BDR apt by Dolores Park,Danielle,Mission,37.76379548,-122.425448,Entire home/apt,149,0,0,0,0,0,23,99,1.08
6336315,Edwardian Condo Centrally Located,Robert,Mission,37.77017333,-122.4215716,Entire home/apt,240,100,0,0,0,0,0,-1,-1
2074584,Clean and Modern Mission Cottage,Autumn And Richie,Mission,37.76025251,-122.4166307,Entire home/apt,206,60,7,25,55,55,123,96,3.16
765739,Beautiful Mission Victorian Home,Ellen,Mission,37.75104087,-122.4186658,Entire home/apt,575,150,0,0,0,12,7,100,0.18
9525911,Private room in top Edwardian Flat,Masoud,Mission,37.76764528,-122.4239505,Private room,120,0,24,54,84,359,14,100,1.02
11650390,Heart of Mission District - Queen,Alex,Mission,37.75122694,-122.4183758,Private room,74,30,0,0,0,0,1,100,0.09
14773204,Luxury Streetside Apt Near Public Transportation,Pete And Ivan,Mission,37.76667538,-122.4170325,Private room,105,0,11,39,69,331,36,94,5.14
5470034,Small Room steps from Valencia,Joseph,Mission,37.76054446,-122.421676,Private room,59,10,10,22,34,267,110,83,4.37
1814061,Modern luxury; Noe Valley pvt flat,Dave,Mission,37.75110161,-122.4241432,Entire home/apt,150,100,30,60,71,282,6,100,0.15
2046807,Charming Private Studio in Mission,Kevin,Mission,37.76045876,-122.4190438,Entire home/apt,149,50,1,1,1,92,78,89,2.13
486950,Large room in Slick Victorian ,Ligia,Mission,37.75311615,-122.4086315,Private room,100,150,0,0,0,0,0,-1,-1
592883,BEDROOM-f (July 31--->),Ken,Mission,37.75731078,-122.4095373,Private room,75,85,0,0,0,246,19,95,0.4
9350676,Mission District Artsy 1 BDRM,Veronica,Mission,37.75174324,-122.4162526,Entire home/apt,299,190,30,60,90,365,1,-1,0.06
1093088,Mission/Castro one-bedroom suite,Lucas,Mission,37.76777714,-122.4243382,Private room,68,12,5,10,16,189,160,96,3.4
13725185,Bright Basement Apartment UNFURNISHED,Nina,Mission,37.76121341,-122.4086907,Entire home/apt,99,50,6,6,6,6,0,-1,-1
2502127,Sunny Mission 2BD - Victorian house,Dan & Maya,Mission,37.75297177,-122.4128058,Entire home/apt,211,90,30,60,90,180,37,94,1.06
16231927,1-Br Mission (Near Dolores Park) - Holidays,Francis,Mission,37.75833813,-122.4229128,Entire home/apt,125,0,3,3,3,3,7,100,2.19
